arabic_name,english_name
العقمه - الملحه,Al-Aqmah - Al-Malhah
العقمه - المقصاب,Al-Aqmah - Al-Maqsab
العقمه - المزحاجه,Al-Aqmah - Al-Mazhajah
العقمه - المضيلع,Al-Aqmah - Al-Mudayli'
العقمه - الملاقي,Al-Aqmah - Al-Mulaqi
العقمه - المقظظ,Al-Aqmah - Al-Muqadhth
العقمه - المريريه,Al-Aqmah - Al-Murairiyah
العقمه - القليعه,Al-Aqmah - Al-Qali'ah
العقمه - القرية,Al-Aqmah - Al-qariah
العقمه - القرين,Al-Aqmah - Al-Qarin
العقمه - القشيق,Al-Aqmah - Al-Qashiq
العقمه - الصراره,Al-Aqmah - Al-Sarrah
العقمه - الشمليه,Al-Aqmah - Al-Shamaliyah
العقمه - الشرج,Al-Aqmah - Al-Sharj
العقمه - حصب الحويج,Al-Aqmah - Hasab Al-Huwayj
العقمه - هيجة جبح,Al-Aqmah - Hayjah Jabh
العقه,Al-Aqqa
الاقروض - العدنين,Al-Aqrouth -Al-Adnin
الاقروض - الجباه,Al-Aqrouth -Al-Jabah
الاقروض - المريقيب,Al-Aqrouth -Al-Muraikib
الاقروض - النجـد,Al-Aqrouth -Al-Najd
العراعر,Al-Ara'ir
العراعر - القحيفـه,Al-Ara'ir - Al-Qahifa
العراعر - نجد العراعر,Al-Ara'ir - Najd Al-Ara'ir
العراعر - صوارحين,Al-Ara'ir - Sawarihin
العارضه - الحصب,Al-Ardah - Al-Hasab
العارضه - المناخ,Al-Ardah - Al-Manakh
العارضه - حصب الطير,Al-Ardah - Hasab Al-Tayr
العارضه - هيجة دويد,Al-Ardah - Hijah Duwaid
العارضه,Al-'Arida
العارضه - اكمة البيضاء,Al-'Arida - Akmat Al-Bayda'
العارضه - الدار,Al-'Arida - Al-Dar
العارضه - الجديدة,Al-'Arida - Al-Jadida
العارضه - الخراب,Al-'Arida - Al-Kharab
العارضه - المروى,Al-'Arida - Al-Marwa
العارضه - الميدام,Al-'Arida - Al-Midam
العارضه - المحيصب,Al-'Arida - Al-Muhaysib
العارضه - المناوب,Al-'Arida - Al-Munawwab
العارضه - المشرفه,Al-'Arida - Al-Mushrifa
العارضه - النبيع,Al-'Arida - Al-Nabi'
العارضه - القرية السفلى,Al-'Arida - Al-Qarya Al-Sufla
العارضه - القضاة,Al-'Arida - Al-Qudat
العارضه - ضبيره,Al-'Arida - Dhabira
العارضه - هجم العجل,Al-'Arida - Hajam Al-'Ajal
العارضه - حصب عباد,Al-'Arida - Hasab 'Abbad
العارضه - حصيب ياسين,Al-'Arida - Hasib Yasin
العارضه - قرف الهاديه,Al-'Arida - Qarf Al-Hadiya
العارضه - شعب الظافر,Al-'Arida - Sha'b Al-Dhafir
العرينه,Al-Arina
العريش,Al-Arish
العريش - العضيباء,Al-Arish - Al-Adhiba
العريش - البراده,Al-Arish - Al-Baradah
العريش - الدراغمه,Al-Arish - Al-Daraghmah
العريش - الذنبه,Al-Arish - Al-Dhanbah
العريش - الضويحه,Al-Arish - Al-Dhuwayhah
العريش - الحرزه,Al-Arish - Al-Harzah
العريش - الكاذيه,Al-Arish - Al-Kadhiyah
العريش - المفرق,Al-Arish - Al-Mafraq
العريش - المحاكله,Al-Arish - Al-Mahaklah
العريش - المهرهره,Al-Arish - Al-Mahrarah
العريش - المجش,Al-Arish - Al-Majash
العريش - المخيشيقة,Al-Arish - Al-Makhishiqah
العريش - المعيطه,Al-Arish - Al-Mu'ayta
العريش - المنقد,Al-Arish - Al-Munqad
العريش - الرشيح الاعلى,Al-Arish - Al-Rashih Al-A'la
العريش - الرشيح الاسفل,Al-Arish - Al-Rashih Al-Asfal
العريش - الرونه,Al-Arish - Al-Rawnah
العريش - الروقين,Al-Arish - Al-Ruqayn
العريش - السبله,Al-Arish - Al-Sabla
العريش - الصوفه,Al-Arish - Al-Sufah
العريش - التماره,Al-Arish - Al-Tamarah
العشيرة - العشيرة,Al-Ashira - Al-Ashira
العشيرة - المتاهلين,Al-Ashira - Al-Mutahilin
العشيرة - عوده,Al-Ashira - Awda
العشيرة - حرثه,Al-Ashira - Hartha
الاتيمه - العرمه,Al-Atima - Al-Armah
الاتيمه - البرح الاحمر,Al-Atima - Al-Barh Al-Ahmar
الاتيمه - الدوش,Al-Atima - Al-Doush
الاتيمه - الهداله,Al-Atima - Al-Hadalah
الاتيمه - الجاهلي,Al-Atima - Al-Jahili
الاتيمه - الكنايه,Al-Atima - Al-Kinaya
الاتيمه - القحاره,Al-Atima - Al-Qahara
الاتيمه - وادي رين,Al-Atima - Wadi Rin
الازيود - العرج,Al-Azyoud - Al-'Arj
الازيود - العشروقة,Al-Azyoud - Al-'Ashruka
الازيود - الضباية,Al-Azyoud - Al-Dhabaya
الازيود - الحدقة,Al-Azyoud - Al-Hadqa
الازيود - الكدام,Al-Azyoud - Al-Kadam
الازيود - المعاقم,Al-Azyoud - Al-Ma'aqim
الازيود - المجرانيه,Al-Azyoud - Al-Majraniya
الازيود - المهاجمة,Al-Azyoud - Al-Muhajima
الازيود - الروينة,Al-Azyoud - Al-Ruwayna
الازيود - السليع,Al-Azyoud - Al-Sali'
الازيود - الشعيب,Al-Azyoud - Al-Shu'ayb
الازيود - الشويكة,Al-Azyoud - Al-Shuwayka
الازيود - الزريقاء,Al-Azyoud - Al-Zariqa'
الازيود - دار الراعي,Al-Azyoud - Dar Al-Ra'i
الازيود - محجر راعى,Al-Azyoud - Mahjar Ra'i
البحيح,Al-Bahih
البليلي,Al-Balili
البليلي - العكش,Al-Balili - Al-Akash
البليلي - الدربوش,Al-Balili - Al-Darboush
البليلي - النقيرة,Al-Balili - Al-Nuqayra
البليلي - الساحرة,Al-Balili - Al-Sahira
البليلي - عزان,Al-Balili - Azzan
البليلي - مكان الحمير,Al-Balili - Makan Al-Hamir
البليلي - قواح,Al-Balili - Qawah
الدييمه - البطاح,Al-Daymah - Al-Bataah
الدييمه - هيجةجهلان,Al-Daymah - Hayjah Jahlan
الظهر - اكمه الحدادين,Al-Dhahr - Akmat Al-Haddadin
الظهر - الظهرالاعلى,Al-Dhahr - Al-Dhahr Al-A'la
الظهر - الظهرالاسفل,Al-Dhahr - Al-Dhahr Al-Asfal
الذنبه,Al-Dhanba
الذنبه,Al-Dhanbah
الذنبه,Al-Dhanbah
الذنبه - المحجوره,Al-Dhanbah - Al-Mahjoura
الذنبه - نعمان,Al-Dhanbah - Nu'man
الضيجه - العلبه,Al-Dhayjah - Al-'Albah
الضيجه - العوده,Al-Dhayjah - Al-'Awdah
الضيجه - المشاجب,Al-Dhayjah - Al-Mashajeb
الضيجه - النوبه,Al-Dhayjah - Al-Nawbah
الضيجه - النويدره,Al-Dhayjah - Al-Nuwaidrah
الضيجه - الراحه,Al-Dhayjah - Al-Raha
الضيجه - الزريعي,Al-Dhayjah - Al-Zurai'i
الضيجه - هيجة العكش,Al-Dhayjah - Hayjah Al-'Akash
الضيجه - شعب الذيب,Al-Dhayjah - Sha'ab Al-Dhib
الضيجه - شعبه المعلامه,Al-Dhayjah - Sha'bat Al-Ma'alamah
الحد - الضويحه,Al-Dhuwayhah
الدوش,Al-Doush
الدوش - العريقه,Al-Doush - Al-Ariqa
الدوش - العواس,Al-Doush - Al-Awas
الدوش - العواطف,Al-Doush - Al-Awatif
الدوش - الغيبر,Al-Doush - Al-Ghaybar
الدوش - الحدبه الحمراء,Al-Doush - Al-Hadba Al-Hamra
الدوش - الحنجره,Al-Doush - Al-Hanjara
الدوش - الحقافر,Al-Doush - Al-Haqafir
الدوش - الحوص,Al-Doush - Al-Hawas
الدوش - الجورهه,Al-Doush - Al-Jawra
الدوش - القديمة,Al-Doush - Al-Qadima
الدوش - الطمير,Al-Doush - Al-Tamir
الدوش - بيت رشاح,Al-Doush - Bayt Rashah
الدوش - بيت سلوين,Al-Doush - Bayt Salwin
الفحيشيه,Al-Fahishiya
الفحيشيه (بدو رحل ),Al-Fuhayshiyah (Bedouin nomads)
الغريف,Al-Gharif
الغريف - المجزره,Al-Gharif - Al-Majzarah
الغريف - المشيعير,Al-Gharif - Al-Mushay'ir
الغريف - حبوة الموينس,Al-Gharif - Habwah Al-Muwaynis
الغريف - طره الجويعي,Al-Gharif - Tarah Al-Juway'i
الغريف - طرة الجعيره,Al-Gharif - Tarrah Al-Ja'irah
الغرافي,Al-Gharrafi
الغرافي - العداين,Al-Gharrafi - Al-Adain
الغرافي - الاعقاص,Al-Gharrafi - Al-Aqas
الغرافي - البوالع,Al-Gharrafi - Al-Bawali
الغرافي - الدخل,Al-Gharrafi - Al-Dakhil
الغرافي - الفاترة,Al-Gharrafi - Al-Fatira
الغرافي - الحبشة,Al-Gharrafi - Al-Habasha
الغرافي - الحدبة,Al-Gharrafi - Al-Hadba
الغرافي - الحصب,Al-Gharrafi - Al-Hasab
الغرافي - الحياطة,Al-Gharrafi - Al-Hayata
الغرافي - الجدير,Al-Gharrafi - Al-Jadir
الغرافي - الخيريان,Al-Gharrafi - Al-Khairiyan
الغرافي - المفرق,Al-Gharrafi - Al-Mafraq
الغرافي - القشب,Al-Gharrafi - Al-Qashb
الغرافي - الشبيقات,Al-Gharrafi - Al-Shabiqat
الغرافي - اليمنة,Al-Gharrafi - Al-Yamana
الغرافي - الزقيرية,Al-Gharrafi - Al-Zaqiriya
الغرافي - دومة الصبيحي,Al-Gharrafi - Dumat Al-Subaihi
الغرافي - جبل عكى,Al-Gharrafi - Jabal Aka
الغرافي - جاعمة,Al-Gharrafi - Ja'ma
الغيل - الاكحل,Al-Ghayl - Al-Akhal
الغيل - العقبه,Al-Ghayl - Al-Aqaba
الغيل - العقيقين,Al-Ghayl - Al-Aqiqayn
الغيل - العرجوش,Al-Ghayl - Al-Arjush
الغيل - العصفوريه,Al-Ghayl - Al-Asfuriya
الغيل - العزيبه,Al-Ghayl - Al-Aziba
الغيل - البكره,Al-Ghayl - Al-Bakrah
الغيل - الضويحه,Al-Ghayl - Al-Dhuwayha
الغيل - الفقوة,Al-Ghayl - Al-Faqwa
الغيل - الحفيره,Al-Ghayl - Al-Hafira
الغيل - الحجفه,Al-Ghayl - Al-Hajfah
الغيل - الحجره,Al-Ghayl - Al-Hajra
الغيل - الحثن,Al-Ghayl - Al-Hathn
الغيل - الحصن,Al-Ghayl - Al-Hisn
الغيل - الجنه,Al-Ghayl - Al-Janna
الغيل - الخومله,Al-Ghayl - Al-Khumla
الغيل - المورخ,Al-Ghayl - Al-Murakh
الغيل - النوبه الشاكرية,Al-Ghayl - Al-Nuba Al-Shakriya
الغيل - القشايب,Al-Ghayl - Al-Qashayib
الغيل - الرادع,Al-Ghayl - Al-Rad'
الغيل - الرواع,Al-Ghayl - Al-Rawaa
الغيل - الصفريه,Al-Ghayl - Al-Safriya
الغيل - الشجنه,Al-Ghayl - Al-Shajna
الغيل - الشعيب,Al-Ghayl - Al-Shuaib
الغيل - عراصو,Al-Ghayl - 'Arasu
الغيل - عريدان,Al-Ghayl - Aridan
الغيل - داجنه,Al-Ghayl - Dajna
الغيل - دارالسلام,Al-Ghayl - Dar Al-Salam
الغيل - ذاحيان,Al-Ghayl - Dhahyan
الغيل - حصب العزيبه,Al-Ghayl - Hasab Al-Aziba
الغيل - خبخب,Al-Ghayl - Khabkhab
الغيل - شط الحامي,Al-Ghayl - Shat Al-Hami
الغيل - شط علي,Al-Ghayl - Shat Ali
الغوبقه - الاطوار,Al-Ghubaqah - Al-Atwar
الغوبقه - الحقيبه,Al-Ghubaqah - Al-Haqibah
الغوبقه - الهندى,Al-Ghubaqah - Al-Hindi
الغوبقه - الجنيجره,Al-Ghubaqah - Al-Junayjirah
الغوبقه - المعلم,Al-Ghubaqah - Al-Mu'allim
الغوبقه - المنيقد,Al-Ghubaqah - Al-Munayqid
الغوبقه - القطاطه,Al-Ghubaqah - Al-Qatatah
الغوبقه - الردع,Al-Ghubaqah - Al-Rad'
الغوبقه - حصب النقود,Al-Ghubaqah - Hasab Al-Nuqud
الحد,Al-Had
الحد - العقوره,Al-Had - Al-'Aqurah
الحد - الهيجه,Al-Had - Al-Hayjah
الحد - الحجير,Al-Had - Al-Hujayr
الحد - الهليبه,Al-Had - Al-Hulaybah
الحد - الجريبه,Al-Had - Al-Juraybah
الحد - المراتمه,Al-Had - Al-Maratimah
الحد - القحقاح,Al-Had - Al-Qahqah
الحد - الصباريه,Al-Had - Al-Sabariyyah
الحد - عقار,Al-Had - 'Aqar
الحدابيه - الحدبه السفلى,Al-Hadabiyah - Al-Hadbah Al-Sufla
الحدابيه - الحدبه العليا,Al-Hadabiyah - Al-Hadbah Al-'Ulya
الحدابيه - بلد الساده,Al-Hadabiyah - Balad Al-Sadah
الحجافيه - العيصم,Al-Hajafiyah - Al-Aysam
الحجافيه - الدحيم,Al-Hajafiyah - Al-Duhaym
الحجافيه - داردعسين,Al-Hajafiyah - Darda'sin
الحجافيه - جبل البعيصي,Al-Hajafiyah - Jabal Al-Ba'isi
الحجافيه - جبل الدامر,Al-Hajafiyah - Jabal Al-Damir
الحجافيه - جبل الدبيزل,Al-Hajafiyah - Jabal Al-Dubayzil
الحجافيه - جبل الحداد,Al-Hajafiyah - Jabal Al-Haddad
الحجافيه - جبل قراد,Al-Hajafiyah - Jabal Qarad
الحجاريه,Al-Hajariya
الحجاريه - الماجليه,Al-Hajariya - Al-Majliya
الحجفه - المعترض,Al-Hajfah - Al-Mu'tarid
الهاملي,Al-Hamli
الهاملي - العميريه,Al-Hamli - Al-Amiriyah
الهاملي - الدربنه,Al-Hamli - Al-Darbana
الهاملي - الغله,Al-Hamli - Al-Ghalah
الهاملي - الحصينه,Al-Hamli - Al-Husaynah
الهاملي - الجبيل,Al-Hamli - Al-Jubayl
الهاملي - الكدره,Al-Hamli - Al-Kadrah
الهاملي - المقرعي,Al-Hamli - Al-Muqra'i
الهاملي - النوبه,Al-Hamli - Al-Nubah
الهاملي - السلطنه,Al-Hamli - Al-Sultanah
الهاملي - السوهره,Al-Hamli - Al-Suwahrah
الحمراء,Al-Hamra
الحمراء - ذياب,Al-Hamra - Dhiab
الحنجرة بدو رحل,Al-Hanjarah (Bedouin nomads)
الحقل,Al-Haqal
الحقل - العشة,Al-Haqal - Al-Ashah
الحقل - الواد,Al-Haqal - Al-Wad
الحريقيه,Al-Hariqiya
الحريقيه - قروش,Al-Hariqiya - Qurosh
الحرثه,Al-Harthah
الحرثه - المحور,Al-Harthah - Al-Mahwar
الحرثه - صبر,Al-Harthah - Sabr
الحصيب,Al-Hasib
الحصيب - النشه,Al-Hasib - Al-Nashah
الحياجي,Al-Hayaji
الحياجي - البياضيه,Al-Hayaji - Al-Bayadiyah
الحياجي - الظهره,Al-Hayaji - Al-Dhahra
الحياجي - الحبوه,Al-Hayaji - Al-Habwa
الحياجي - الحمرة,Al-Hayaji - Al-Hamra
الحياجي - الجراده,Al-Hayaji - Al-Jaradah
الحياجي - المقضي,Al-Hayaji - Al-Maqdi
الحياجي - المعطاب الاعلى,Al-Hayaji - Al-Ma'tab Al-A'la
الحياجي - القاصب,Al-Hayaji - Al-Qasib
الحياجي - السيال,Al-Hayaji - Al-Sayyal
الحياجي - قشعة السبيل,Al-Hayaji - Qash'at Al-Sabil
الحيمه,Al-Haymah
الحيمه - البريحان,Al-Haymah - Al-Barihan
الحيمه - الدلعمه,Al-Haymah - Al-Dal'amah
الحيمه - المجاربة,Al-Haymah - Al-Majaribah
الحييمة - المبياضه,Al-Haymah - Al-Mubayadah
الحييمة - الشوصره,Al-Haymah - Al-Shawsirah
الحييمة - الشقيره,Al-Haymah - Al-Shuqayrah
الحييمة - عقبه,Al-Haymah - Aqabah
الحيمه - ضورين,Al-Haymah - Dhurin
الحيمه - حصب الماس,Al-Haymah - Hasab Al-Mas
الحييمة - هوب مجلي,Al-Haymah - Hub Majli
الحجج,Al-Hujaj
الحجج - جرجوح,Al-Hujaj - Jarjuh
الحجيره - الهيوج,Al-Hujayrah - Al-Hayyuj
الحجيره - المهجم الاعلى,Al-Hujayrah - Al-Mahjam Al-A'la
الحجيره - المهجم الاسفل,Al-Hujayrah - Al-Mahjam Al-Asfal
الحجيره - المحكمه,Al-Hujayrah - Al-Mahkama
الحجيره - المصافره,Al-Hujayrah - Al-Musafirah
الهليبي,Al-Hulaibi
الجريب,Al-Jarib
الجريب,Al-Jarib
الجريب - البزيه,Al-Jarib - Al-Baziyah
الجريب - الشبع,Al-Jarib - Al-Shaba
الجريب - جبل النار,Al-Jarib - Jabal Al-Nar
الجريب - طوره,Al-Jarib - Turah
الجريب - طوربصير,Al-Jarib - Turbasir
الجريب - وادي الكبير,Al-Jarib - Wadi Al-Kabir
الجروبة,Al-Jarouba
الجروبة - الدابوليا,Al-Jarouba - Al-Daboulia
الجروبة - الدويرة,Al-Jarouba - Al-Duwaira
الجروبة - الصويلح,Al-Jarouba - Al-Suwailih
الجبال,Al-Jibal
الجبال - الصرادح,Al-Jibal - Al-Saradih
الجبيه,al-Jubayyah
الجبيه - الحجيج,al-Jubayyah - al-Hajjaj
الجبيه - الحنيني,al-Jubayyah - al-Hunayni
الجبيه - الجويح,al-Jubayyah - al-Juwayh
الجبيه - الكدمة,al-Jubayyah - al-Kadmah
الجبيه - الكاحب,al-Jubayyah - al-Kahib
الجبيه - المهيوب,al-Jubayyah - al-Mahyoub
الجبيه - المجزع,al-Jubayyah - al-Majza'
الجبيه - المكيمل,al-Jubayyah - al-Mukaymil
الجبيه - القرف,al-Jubayyah - al-Qarf
الجبيه - القصبه,al-Jubayyah - al-Qasbah
الجبيه - الوسيطان,al-Jubayyah - al-Wasitayn
الجبيه - خدية,al-Jubayyah - Khadiyah
الجمعة,Al-Jum'ah
الجمعة - العنصبة,Al-Jum'ah - Al-'Ansaba
الجمعة - البرادقة,Al-Jum'ah - Al-Baradiqa
الجمعة - الغاوى,Al-Jum'ah - Al-Ghawy
الجمعة - الخنيق,Al-Jum'ah - Al-Khaniq
الجمعة - المحل,Al-Jum'ah - Al-Mahal
الجمعة - الرمادة,Al-Jum'ah - Al-Ramada
الجمعة - الصدة,Al-Jum'ah - Al-Sadda
الجمعة - يالول,Al-Jum'ah - Yalul
الكدحه,Al-Kadha
الكدحه - العبدلي,Al-Kadha - Al-Abdali
الكدحه - العريق,Al-Kadha - Al-Areeq
الكدحه - العواس,Al-Kadha - Al-Awas
الكدحه - الحيدريه,Al-Kadha - Al-Haydariya
الكدحه - الجديد,Al-Kadha - Al-Jadeed
الكدحه - الجافر,Al-Kadha - Al-Jafir
الكدحه - الجاهلي,Al-Kadha - Al-Jahili
الكدحه - الكداح,Al-Kadha - Al-Kaddah
الكدحه - المعقر,Al-Kadha - Al-Ma'qar
الكدحه - السفيدة,Al-Kadha - Al-Safida
الكدحه - الوطن,Al-Kadha - Al-Watan
الكدحه - بئر عقيل,Al-Kadha - Bir Aqeel
الكدحه - بئر حنيش,Al-Kadha - Bir Hanish
الكدحه - حدبه نقيط,Al-Kadha - Hadbah Naqit
الكديحة - الجديدة,Al-Kadiha - Al-Jadidah
الكديحة - المشقر,Al-Kadiha - Al-Mushaqqar
الكديحة - طنح,Al-Kadiha - Tanh
الكديحة,Al-Kadihah
الكديحة - الباقرية,Al-Kadihah - Al-Baqiriyah
الكديحة - الحسنيه,Al-Kadihah - Al-Hasaniyah
الكديحة - السماسم,Al-Kadihah - Al-Samasim
الكديحة - حسىالحافى,Al-Kadihah - Hassi Al-Hafi
الكديحة - استرح,Al-Kadihah - Istarh
الكدمه,Al-Kadmah
الكدمه - العلقميه,Al-Kadmah - Al-Alqamiyah
الكدمه - الظهره,Al-Kadmah - Al-Dhahra
الكدمه - الحوجب,Al-Kadmah - Al-Hawjab
الكدمه - المقالد,Al-Kadmah - Al-Maqalid
الكدمه - القوز,Al-Kadmah - Al-Qawz
الكدمه - الصرادح,Al-Kadmah - Al-Saradih
الكدمه - الصيره,Al-Kadmah - Al-Sirah
الكدمه - الزوين,Al-Kadmah - Al-Zuwain
الكدمه - قرى الحاج,Al-Kadmah - Qura Al-Hajj
الكدمه - شنـص,Al-Kadmah - Shans
الكدمه - وادى علي,Al-Kadmah - Wadi Ali
الكربه - الاجن,Al-Karbah - Al-Ajan
الكربه - الحمرور,Al-Karbah - Al-Hamrur
الكربه - الكربة السفلى,Al-Karbah - Al-Karbah Al-Sufla
الكربه - القر,Al-Karbah - Al-Qar
الكربه - الر حاب,Al-Karbah - Al-Rahab
الكربه - الزيديه,Al-Karbah - Al-Zaidiyah
الكربه - الزوه,Al-Karbah - Al-Zawah
الخباه,Al-Khabah
الخضراء,Al-Khadra
الخيفه,al-Khaifah
الخيفه - دهل الديمه,al-Khaifah - Dahl al-Dima
الخنهه,Al-Khanah
الخنهه - العقير,Al-Khanah - Al-Aqir
الخنهه - القلعه,Al-Khanah - Al-Qal'ah
الخنهه - الرحب,Al-Khanah - Al-Rahab
الكويحه - اكمه الرماد,Al-Kuwayhah - Akmat Al-Ramad
الكويحه - الاجراف,Al-Kuwayhah - Al-Ajraf
الكويحه - الداهره,Al-Kuwayhah - Al-Dahira
الكويحه - الذنيبه,Al-Kuwayhah - Al-Dhanibah
الكويحه - الذراع,Al-Kuwayhah - Al-Dhra'
الكويحه - الحضين,Al-Kuwayhah - Al-Hadhin
الكويحه - الحماريه,Al-Kuwayhah - Al-Hamariya
الكويحه - الجبانة,Al-Kuwayhah - Al-Jabana
الكويحه - المبراع,Al-Kuwayhah - Al-Mabra'
الكويحه - القحيفة,Al-Kuwayhah - Al-Qahifah
الكويحه - القشيبه,Al-Kuwayhah - Al-Qashibah
الكويحه - السقايه,Al-Kuwayhah - Al-Saqaya
الكويحه - بيت الشريف,Al-Kuwayhah - Bayt Al-Sharif
الكويحه - شعب شقير,Al-Kuwayhah - Sha'ab Shuqayr
المعامرة - العتاة,Al-Ma'amara - Al-'Ata
المعامرة - الذنبة,Al-Ma'amara - Al-Dhanba
المعامرة - الجربه,Al-Ma'amara - Al-Jarba
المعامرة - المغر بة,Al-Ma'amara - Al-Maghriba
المعامرة - الشط,Al-Ma'amara - Al-Shatt
المعامرة - الزبيرة,Al-Ma'amara - Al-Zubayra
المعامرة - الحفيظة,Al-Ma'amrah - Al-Hafizah
المعامرة - الحفره,Al-Ma'amrah - Al-Hafra
المعامرة - الخنيف,Al-Ma'amrah - Al-Khanif
المعامرة - الساحلي,Al-Ma'amrah - Al-Sahili
المبذل,Al-Mabdhil
المبذل - الجعاديه,Al-Mabdhil - Al-Ja'adiyah
المبذل - المسيحه,Al-Mabdhil - Al-Masihah
المبذل - المتون,Al-Mabdhil - Al-Mutun
المبذل - النقاحه,Al-Mabdhil - Al-Naqahah
المبذل - القحفه,Al-Mabdhil - Al-Qahfah
المغدر,Al-Maghdar
المغدر - الاكمـه,Al-Maghdar - Al-Akma
المغدر - المقيبره,Al-Maghdar - Al-Maqibra
المغدر - عركبه,Al-Maghdar - Arqaba
المغدر - بئر مالك,Al-Maghdar - Bir Malik
المغدر - زبوره,Al-Maghdar - Zabura
الملك,Al-Malik
المناصيب,Al-Manasib
المناصيب - دار الخبت,Al-Manasib - Dar Al-Khabt
المقلب,Al-Maqlab
المقلب - الابراح,Al-Maqlab - Al-Abrah
المقلب - الذنبه,Al-Maqlab - Al-Dhanbah
المقلب - الفنخه,Al-Maqlab - Al-Fankhah
المقلب - الحويص,Al-Maqlab - Al-Huways
المقلب - الكدن,Al-Maqlab - Al-Kadan
المقلب - الخويفه,Al-Maqlab - Al-Khuwayfah
المقلب - المدروك,Al-Maqlab - Al-Madrouk
المقلب - الركيبه,Al-Maqlab - Al-Rukaybah
