arabic_name,english_name
المزانده,Al-Mazanda
الباقرية,Al-Baqiriyah
السوق,Al-Souq
الموايغ,Al-Mawigh
وادي الشط,Wadi al-Shatt
ذي الجنان,Dhi al-Jinan
الحرف,Al-Harf
شعب سويلم,Sha'b Suwaylim
اكمة عبدول,Akmat Abdul
الوسيطان,al-Wasitayn
القديمة,Al-Qadima
القعطبيه,Al-Qatabiyah
رداع - الحجينه,Rada-Al-Hajaynah
المغربه العليا,al-Maghriba al-'Ulya
القطيف,Al-Qatif
وادي موثب,Wadi Muthab
المصيرع,al-Musayri'
ذي البرع - مقبر الصروره,Thee Al-Bara-Maqbar Al-Sarurah
القشعه,al-Qash'a
سوق الحر,Suq Al-Hur
هوب هادي,Hub Hadi
شعب المقعد,Sha'b Al-Maq'ad
الدقادق,Al-Daqadiq
الظهره,al-Dhahra
الحوجب,Al-Hawjab
الهجينه,Al-Hajinah
حيس,Hays
الاحيوس,Al-Ahayus
ذي خير,Dhi Khayr
الفريعة,Al-Fari'ah
نجد العراعر,Najd Al-Ara'ir
ذي البرع - الهبيب,Thee Al-Bara-Al-Habeeb
وادي الاربح,Wadi Al-Arbah
دهل السمح,Dahl Al-Samh
القليعه,Al-Qali'ah
الرونه,Al-Rawnah
المحليه,Al-Mahaliyah
العدف,Al-Adaf
التوبره,Al-Tawbara
العيقل,Al-eiqal
المعترض,Al-Mu'tarid
المريريه,Al-Murairiyah
الجربه,Al-Jarba
حصب السياري,Hasab Al-Sayyari
النوبه الشاكرية,Al-Nuba Al-Shakriya
الدلعمه,Al-Dal'amah
اللصيبه,Al-Lasibah
المفرق,Al-Mafraq
الحدبه السفلى,Al-Hadbah Al-Sufla
الكدمة,al-Kadmah
ذا العبار,Tha Al-Abar
الميثاق,Al-Mithaq
الحريزه,Al-Hariza
الحصه,Al-Hisah
الاكمـــه,Al-Akma
قشوبه,Qashoubah
خوصانه,Khawsana
هيجة النقيل,Hayjat An-Naqil
اكمه الجيشي,Akmat Al-Jayshi
الجويح,Al-Juwayh
خرشبه,Kharshaba
الهنيميـه,Al-Hunaymiya
جسر رسيان,Rasian Bridge
السريبه,Al-Suraybah
لابح,Labah
الجبه,Al-Jabhah
القيانة,Al-Qiyanah
الرابصيه,Al-Rabsiya
الدردعى,Ad-Darda'i
عريدان,Aridan
بحاره,Bahara
الملاقي,Al-Mulaqi
المسيلة,Al-Masila
السدير,Al-Sudair
المكيمل,al-Mukaymil
المرازم,Al-Marazim
الحجره,Al-Hajra
نوبة عامر,Nawbat Amer
الفوشه,al-Fawshah
الكويحه,Al-Kuwayhah
بيت العميره,Bayt Al-'Amira
دارالقعموس,Dar al-Qa'mus
الماقبه,Al-Maqbah
النويدره,Al-Nuwaidrah
قريع,Qari'
الحطبى,Al-Hatabi
جبل الدبيزل,Jabal Al-Dubayzil
جبل الصبري,Jabal al-Sabri
الذراع,Al-Dhra'
المروى,Al-Marwa
جرات,Jarat
الحمديه,Al-Hamdiya
جبل الحكيمه,Jabal al-Hakimah
هيجةجهلان,Hayjah Jahlan
النزيهه,Al-Nazihah
حنه,Hanna
المغلاء,Al-Maghla
شعب الاحمر,Sha'b Al-Ahmar
سدان,Sadan
الضيجه,Al-Dhayjah
جبل الحداد,Jabal Al-Haddad
الحميدة,Al-Hamida
شرح,Sharh
الدويرة,Al-Duwaira
اكمه الحدادين,Akmat Al-Haddadin
الخنهه,Al-Khanah
الحد,Al-Had
نجدالمعينه,Najd Al-Mu'aynah
حزاز,Hazaz
ضراعه,Dhara'ah
حصب الذنبه,Hasab Al-Dhanbah
المره السفلى,Al-Murra Al-Sufla
الجرائب,Al-Jara'ib
المسبعه,Al-Musab'a
الكراثه,Al-Karatha
السويس,Al-Suways
العواطف,Al-Awatif
اللجيعه العليا,Al-Laji'ah Al-Ulya
البطنه,Al-Batnah
السيد حسين,Al-Sayyid Husayn
بئر مالك,Bir Malik
الموسنه,Al-Musinah
الجديد,Al-Jadeed
ذاسرعيد,Dhasar 'Aid
المحاوي,Al-Mahawi
النوبه,al-Nuba
الطفيلي,Al-Tufayli
الخدمات,Al-Khadamat
المناصيب,Al-Manasib
العقيده العليا,Al-'Aqidah Al-'Ulya
الخضراء,Al-Khadra
الجمعة,Al-Jum'ah
الكربة السفلى,Al-Karbah Al-Sufla
المرقب,Al-Marqab
حارك النوبة,Harik Al-Nawbah
المعطابه السفلى,Al-Ma'tabah Al-Sufla
الحدبة,Al-Hadbah
المشراح,Al-Mashrah
شعبه المعلامه,Sha'bat Al-Ma'alamah
مشرفه,Mushrifa
المعاقد,al-Ma'aqid
الشعيب,Al-Shu'aib
الكرابيه,Al-Karabiyah
الصيفيه,Al-Sayfiyah
بيت الصوفي,Bayt al-Sufi
الهقيف,Al-Haqif
الزوائد,Az-Zawa'id
جرجوح,Jarjuh
الحجيج,al-Hajjaj
الشعور,Al-Shu'ur
المقره,Al-Muqrah
الحلقوم,Al-Halqum
المدافن,Al-Madafin
الزغبري,Al-Zaghbari
البطاح,Al-Bataah
الراحه,Al-Raha
الرويه العليا,Al-Ruwayya Al-Ulya
شعب قيس,Sha'b Qays
المحوى,Al-Mahwa
الكاذيه,Al-Kadhiyah
المقداحه,Al-Maqdaha
شعب الحاج,Shaab Al-Hajj
هجــم,Hajam
المحجر,Al-Mahjar
يالول,Yalul
الشباب,Al-Shabab
البياضيه,Al-Bayadiya
الروقنه,Al-Rawqnah
شعبو,Sha'bo
الشنيرج,Al-Shanirj
الطمير,Al-Tamir
الحفيظه,Al-Hafizah
بئر حنيش,Bir Hanish
الزبه,Al-Zubah
بني علي,Bani 'Ali
الضاربة,Al-Dhariba
باسعد,Bas'ad
بلدالسيد,Balad Al-Sayyid
المزحاجه,Al-Mazhajah
شعبة النجد,Sha'bat al-Najd
الدليفه,Al-Dulayfah
العقيقين,Al-Aqiqayn
المحابيل,Al-Mahabil
نعمان,Nu'man
المقرعة,Al-Maqra'ah
دمنة الشرف,Damnat Al-Sharaf
القطين,Al-Qateen
القبه,Al-Qubbah
موزع,Mawza'
قرحه,Qarhah
ذي الشهران,Dhi Al-Shahrani
الشعيب,Al-Shu'ayb
الرجحه,Al-Rajhah
نوبة شقفات,Nawbat Shaqfat
القر,Al-Qar
الحرضة,Al-Harada
المناصب,Al-Manasib
المعاقم,Al-Ma'aqim
الزريقاء,Al-Zariqa'
حوجله,Hawjalah
الدربنه,Al-Darbana
القطين,Al-Qatin
المراوشة,Al-Marawsha
السبيل,As-Sabil
المحمر,Al-Muhammar
حسي بن علوان,Hassi Bin Alwan
بيت سلوين,Bayt Salwin
المربعه,Al-Murabba'a
حصب اسود,Hasab Aswad
العلبه,Al-'Albah
الدوش,Al-Doush
حسي سالم,Hassi Salem
ثاعن,Tha’in
السويداء,Al-Suwayda'
الفناح,Al-Fanah
الخنيف,Al-Khanif
الميسعه,Al-Maysa’a
المرزام,Al-Marzam
الحدابه,Al-Hadaba
القطع,Al-Qata'
العكده,Al-Akdah
القرعة,Al-Qur'a
القحفة,Al-Qahfah
القريعاء,Al-Qari'ah
الجاتين,Al-Jatin
غريره,Gharira
الاملاك,Al-Amlak
مقدم راس,Muqaddam Ras
مسلقه,Maslaqah
الجعدي,Al-Ja'di
قراضـه,Qaradha
حدابه,Hadaba
العلقميه,Al-Alqamiyah
وادي مكسب,Wadi Makasab
بيت الشريف,Bayt Al-Sharif
الهاملي,Al-Hamli
الغارب,Al-Gharib
العجند,Al-'Ajand
شعب الذيب,Sha'ab Al-Dhib
الحذله,Al-Hadhla
صفونه,Safuna
طرة الجعيره,Tarrah Al-Ja'irah
وادي رين,Wadi Rin
الهداله,Al-Hadalah
الحييمة,Al-Haymah
الهامد,Al-Hamid
الميهال,Al-Mihyal
الحصب,Al-Hasab
جعاشي,Ja'ashi
الجرشية,al-Jarshiyyah
الحناني,Al-Hanani
دار جيهلان,Dar Jihlan
المعطابه العليا,Al-Ma'tabah Al-Ulya
القشيعه,Al-Qash'iyah
البزيقه,Al-Baziqa
السماسم,Al-Samasim
الشوصره,Al-Shawsirah
الطور,Al-Tur
حدبه نقيط,Hadbah Naqit
مهلصه,Mahlasah
القاردة,Al-Qarda
الوطن,Al-Watan
حسى الصوفى,Hassi Al-Sufi
الزهيرة,Al-Zuhaira
الاعروق,al-'Aruq
الزماكرة,Al-Zamakrah
الحطيب,Al-Hutaib
الحيدريه,Al-Haydariya
الشقه,Al-Shaqqah
هيجة دويد,Hijah Duwaid
دار الخبت,Dar Al-Khabt
العراقي,Al-'Iraqi
السوهره,Al-Suwahrah
المحطه,Al-Mahatta
النوبه,Al-Nawba
الشاذلية,Al-Shadhiliya
الحصين,Al-Husayn
المعطاب الاسفل,Al-Ma'tab Al-Asfal
المقضي,Al-Maqdi
اكمه الحمر,Akmah Al-Hamr
الحريق,Al-Hariq
المقالد,Al-Maqalid
المقلب,Al-Maqlab
المعرض,Al-Ma'rad
العذار,al-Adhar
القفده,Al-Qafda
الوقف,Al-Waqf
الكدمه,Al-Kadmah
البقاصة,Al-Baqasa
القطاطه,Al-Qatatah
الفحيشيه (بدو رحل ),Al-Fuhayshiyah (Bedouin nomads)
الغرافي,Al-Gharrafi
المهيوب,al-Mahyoub
شعب الوحشين,Sha'b Al-Wahshayn
المصاحر,Al-Masahir
البويركه,al-Buwayrikah
الخراف,Al-Kharaf
العكم,Al-Akam
العروض,Al-'Arud
العقمه,Al-Aqmah
المستشفى,Al-Mustashfa
الجريبه,Al-Juraybah
القلب,Al-Qalb
الشعب,al-Sha'b
اليمنة,Al-Yamana
شعب الحزابي,Sha'ab al-Hazabi
الاقروض - الجباه,Al-Aqrouth -Al-Jabah
المحرقى,Al-Mahraqi
الجريجر,Al-Jurayjir
الروبق,Al-Rawbaq
وادي هابة,Wadi Habah
الرونه,Al-Rawna
داجنه,Dajnah
السوق,Al-Suq
الصعيدة,Al-Sa'idah
الظهر,Al-Dhahr
المحيصب,Al-Muhaysib
البواكر,Al-Bawakir
اكمة البيضاء,Akmat Al-Bayda'
الحقيب,Al-Haqeeb
الضبة,Al-Dhabah
الجليفيه,Al-Jalifiya
الصـويره - الحوبان,Al-Sawerah-Al-Hawban
الدييمه,Al-Daymah
الزبيرة,Al-Zubayra
البراده,Al-Barada
هجم العجل,Hajam Al-'Ajal
الجبل,Al-Jabal
السويطي,al-Suwayti
شرك,Shirk
القوز,Al-Qawz
العرجوش,Ar-'Arjush
الطوير,Al-Tuwayr
حصيب القوبه,Hasib Al-Qubbah
الدمدم,Al-Damdam
البورحه,Al-Buraha
الصناع,Al-Sina'
الهتيكة,Al-Hatika
جاعمة,Ja'ma
حليصه,Halisah
المضروبه,Al-Madrouba
الابراح,Al-Abrah
حصيب طليل,Hasib Talil
الاجن,Al-Ajan
دارالسلام,Dar Al-Salam
الجاب,Al-Jab
صبر,Sabr
العشة,Al-Ashah
القطف,Al-Qatif
القشايب,Al-Qashaib
العامره,Al-Amirah
البرحه,Al-Barhah
داردعسين,Darda'sin
الخافشية,Al-Khafshiyah
حصيب المشاهره,Hasib Al-Mashahirah
المورخ,Al-Murakh
الشط,Al-Shatt
الشاذلي,Al-Shadhili
الجنيجره,Al-Junayjirah
المضيلع,Al-Mudayli'
الظهرالاسفل,Al-Dhahr Al-Asfal
مبتعه,Mabta'ah
الشعوبه,Al-Shu'ubah
القصبه,al-Qasbah
الشلبيه,Al-Shalabiya
حصب الحويج,Hasab Al-Huwayj
الطهبله,Al-Tahbalah
عقمه الشقه,Aqmah Al-Shaqqah
الر حاب,Al-Rahab
المهاجمة,Al-Muhajima
الحصينه,Al-Husaynah
المجاهش,Al-Majahish
الميدام,Al-Midam
العكده,al-Akdah
الهشام,Al-Hasham
الصفي,Al-Safi
الحبوة البيضاء,Al-Habwa Al-Bayda'
ضاربة الحصب,Daribah Al-Hasab
بني حجاج,Bani Hajjaj
الخسعه,Al-Khasa'a
الصـويره - جهمه,Al-Sawerah-Jahmh
الصـويره - المعصرة,Al-Sawerah-Al-Ma'asrah
المنقاعه,Al-Manqa'a
حصيب الجروبة,Hasib Al-Jarouba
المقروضي,Al-Maqrudhi
ودن الزبيدى,Wadan al-Zubaidi
البكريه,Al-Bakriya
عكاشة,Ukashah
عبد القادر,'Abd Al-Qadir
بيت هيكو,Bayt Hiku
الصـويره - المربعه,Al-Sawerah-Al Murbah
جبل قراد,Jabal Qarad
نمره,Nimrah
العوجاء,Al-Awjaa
المصافره,Al-Musafirah
القفانين,Al-Qafanin
الحرزه,Al-Harza
شعب الكليب,Shaab Al-Kulaib
الروحه,Al-Rawha
الدول,Al-Dawl
الصوفة,al-Sufah
المشاقيه,Al-Mashaqiyah
الدرينه,Al-Duraynah
المضبايه,Al-Madhbayah
النوبه,Al-Nubah
الموجع,Al-Muwajja'
المحمري,Al-Muhammari
العشه,Al-'Ash'ah
التعبره,At-Ta'barah
جرنزه,Jarnazah
الغوبقه,Al-Ghubaqah
الدوار,Al-Dawar
المزق,Al-Muzq
الاعقاص,Al-Aqas
الزهيب,Al-Zuhayb
الحميده,Al-Hamidah
الخرائب,Al-Khara'ib
الكبه,Al-Kabbah
حجيج,Hajij
الميرخ,al-Mirkh
الداخله,Al-Dakhilah
نجدالجرف,Najd Al-Jarf
احوال كريف,Ahwal Krif
القبقاب,al-Qabqab
العفيرة,Al-Afira
الدائري الجنوبي,Al-Da'iri Al-Janoubi
الفاصه,Al-Fasah
القشعه,Al-Qash'ah
الخضيراء,Al-Khadhira
الشويرح,Al-Shuwayrih
العزيبه,Al-Aziba
الهديلة,Al-Hadila
الحجاجين,Al-Hajjajin
الحجافيه,Al-Hajafiyah
الجبيليه,Al-Jubailiya
اكمه الرماد,Akmat Al-Ramad
شعب الحجين,Sha'ab al-Hajin
العوده,Al-'Awdah
النشيم,Al-Nashim
المحامل,Al-Mahamil
شط الحامي,Shat Al-Hami
المناخ,Al-Manakh
المهجم الاسفل,Al-Mahjam Al-Asfal
الركيب,Ar-Rakib
الحد - الضويحه,Al-Dhuwayhah
برح العميره,Barh Al-'Amirah
اللجيعه السفلى,Al-Laji'ah Al-Sufla
الحبيه,Al-Habiyyah
الكام,Al-Kam
الوادي,Al-Wadi
الهنيب,Al-Hunayb
الرفصه,Al-Rafsah
التريس,Al-Taris
المجش,Al-Majash
الضاربه,Al-Daribah
البقرين,Al-Baqrayn
واحجه,Wahja
السلايم,Al-Salayim
النجيد,Al-Najid
الضبيره,Ad-Dhabira
الرمادي,Al-ramady
شط عقاب,Shat 'Uqab
المهيني,Al-Muhayni
المدهف,Al-Madhaf
الحصيب,Al-Hasib
المناوب,Al-Munawwab
السليمة,Al-Salima
المخشب,Al-Mukhshab
القشيق,Al-Qashiq
السوداد,Al-Sudad
القمبرية,Al-Qambariyah
الزيديه,Al-Zaidiyah
شط معوضه,Shat Mu'awwah
المعقر,Al-Ma'qar
القربة,Al-Qurba
الشريج,Al-Sharij
الرجمه,Al-Rajmah
قطيع الحمره,Qateea Alhamrah
البريحان,Al-Barihan
شط علي,Shat Ali
الدعام,Al-Da'am
الخويفه,Al-Khuwayfah
السلطنه,Al-Sultanah
عقيلة,Aqilah
العفيف,Al-Afif
الحنجره,Al-Hanjara
العموقة,Al-Amuqa
خبخب,Khabkhab
الدعامه,Al-Da'amah
زبيد,Zubayd
الفاقع,Al-Faqi'
العكده,Al-'Akdah
شعب الحشور,Sha'ab Al-Hashur
الزوه,Al-Zawah
المقظظ,Al-Muqadhth
بيت البكيري,Bayt Al-Bakiri
هيجة جبح,Hayjah Jabh
حسى كليب,Hassi Kulayb
السادحي,Al-Sadhi
الفنخه,Al-Fankhah
الدار,Al-Dar
جحزر,Jahzar
القبع,Al-Qaba
